dsc_avenida;dsc_int_anterior;dsc_int_siguiente;latitud;longitud
Av Italia;Cooper;Bolonia;-34.880827;-56.077112
Bv Artigas;Hocquart;Nueva Palmira;-34.889533;-56.165523
Bv Batlle y Ordonez;Ramon Anador;Rivera;-34.896940;-56.125230
Colonia;Acevedo Diaz;Paullier;-34.897857;-56.168614
Fernandez Crespo;18 de Julio;Colonia;-34.901342;-56.175176
Fernandez Crespo;La Paz;Miguelete;-34.896103;-56.181280
Garibaldi;Urquiza;8 de Octubre;-34.888870;-56.160850
Garzon;Calderon de la Barca;Duran;-34.799264;-56.224509
Gral Caraballo;Mendoza;Agraciada;-34.885789;-56.192950
Hipolito Yrigoyen;Rivera;Av Italia;-34.887927;-56.110028
Hocquart;Justicia;Bv Artigas;-34.888996;-56.166795
Larranaga;Monte Caseros;Joanico;-34.879760;-56.152480
Lezica;Calderon de la Barca;Eduardo Raiz;-34.804487;-56.224491
Miguelete;Justicia;Bv Artigas;-34.891865;-56.166402
Millan;Bell;Garzon;-34.834811;-56.221060
Rambla;Errazquin;Sarmiento;-34.916586;-56.168989
Soca;Gestido;Rivera;-34.903760;-56.155750
Soriano;Santiago de Chile;Ejido;-34.907420;-56.185940
Zum Felde;Cno Carrasco;Av Italia;-34.884989;-56.095851
8 de Octubre;Sanguinetti;Bv Batlle y Ordonez;-34.878660;-56.147140
Av Italia;Bolivia;Zum Felde;-34.884675;-56.094573
Bv Artigas;Canning;Av Italia;-34.895963;-56.164818
Bv Artigas;Goes;Av Italia;-34.893284;-56.165144
Bv Artigas;San Martin;Ramon Marquez;-34.870833;-56.183974
Bv Artigas;Suarez;Agraciada;-34.872063;-56.201165
Bv Batlle y Ordonez;Av Sayago;Garzon;-34.827908;-56.219441
Nueva Palmira;Monte Caseros;Bv Artigas;-34.888009;-56.165199
Rivera;Acceso Cementerio;Bv Batlle y Ordonez;-34.897900;-56.125370
Rivera;Ponce;Bv Artigas;-34.902620;-56.163050
San Martin;Garibaldi;Bv Artigas;-34.871684;-56.182516
18 de Julio;8 de Octubre;Bv Artigas;-34.897926;-56.165434
Acevedo Diaz;Garibaldi;Ferrer Serra;-34.894152;-56.167498
Amezaga;Arenal Grande;Gral Flores;-34.886220;-56.183720
Andes;18 de Julio;Colonia;-34.906008;-56.198115
Av Brasil;Ellauri;26 de Marzo;-34.911150;-56.151809
Av Italia;Matias Abacu;Francisco Simon;-34.887681;-56.144224
Bv Artigas;Sosa;21 de Setiembre;-34.913860;-56.162715
Bv Batlle y Ordonez;Ramon Anador;Rivera;-34.897320;-56.124630
Corrales;J P Varela;Gral Flores;-34.847027;-56.154642
Garibaldi;Monte Caseros;Bv Artigas;-34.885500;-56.164789
Gral Flores;Carreras Nacionales;Corrales;-34.845630;-56.154883
L A de Herrera;Rambla;26 de Marzo;-34.906172;-56.136634
Rambla;Bv Espana;Montero;-34.922861;-56.152192
Rambla;Sarmiento;Errazquin;-34.929158;-56.160908
San Martin;Martin Garcia;Agraciada;-34.887872;-56.188664
Zum Felde;Rivera;Av Italia;-34.885027;-56.095617
